Artists Name;Song Name;Genres
KAROL G;Tusa;['latin', 'reggaeton']
The Black Eyed Peas;RITMO (Bad Boys For Life);['dance pop', 'pop', 'pop rap']
Rauw Alejandro;Fantasias;['latin', 'reggaeton']
Bad Bunny;Vete;['latin', 'reggaeton', 'trap latino']
Anuel AA;China;['latin', 'reggaeton flow', 'trap latino']
J Balvin;LA CANCIÓN;['latin', 'reggaeton']
Beéle;Loco;[]
J Balvin;Blanco;['latin', 'reggaeton']
Tainy;Adicto (with Anuel AA & Ozuna);['pop reggaeton']
Rich Music LTD;Quizas;['reggaeton', 'reggaeton flow']
Jhay Cortez;No Me Conoce - Remix;['latin', 'reggaeton', 'reggaeton flow', 'trap latino']
Bad Bunny;Callaita;['latin', 'reggaeton', 'trap latino']
Reik;Indeciso;['latin', 'latin arena pop', 'latin pop', 'mexican pop']
Sech;Si Te Vas;['panamanian pop', 'reggaeton']
Dalex;Hola - Remix;['latin', 'r&b en espanol']
J Balvin;QUE PRETENDES;['latin', 'reggaeton']
Maluma;Qué Pena;['latin', 'reggaeton']
Daddy Yankee;Que Tire Pa Lante;['latin', 'latin hip hop', 'reggaeton', 'tropical']
Nicky Jam;Whine Up;['latin', 'latin hip hop', 'reggaeton', 'tropical']
Camilo;Tutu;['colombian pop']
Lunay;Aventura;['latin', 'reggaeton', 'reggaeton flow']
Dimelo Flow;El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay);['reggaeton flow', 'trap latino']
Mike Bahía;Detente;['colombian pop', 'latin', 'latin pop', 'pop reggaeton', 'reggaeton', 'tropical']
Maluma;11 PM;['latin', 'reggaeton']
Piso 21;Pa' Olvidarme De Ella;['colombian pop', 'latin', 'latin pop', 'reggaeton']
Justin Quiles;DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix;['latin', 'reggaeton']
Lunay;Soltera - Remix;['latin', 'reggaeton', 'reggaeton flow']
ROSALÍA;Con Altura;['r&b en espanol']
ROSALÍA;Yo x Ti, Tu x Mi;['r&b en espanol']
Myke Towers;Si Se Da - Remix;['latin', 'trap latino']
Andy Rivera;Alguien Me Gusta;['latin', 'latin hip hop', 'perreo', 'pop reggaeton', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']
Shawn Mendes;Señorita;['canadian pop', 'pop', 'post-teen pop', 'viral pop']
Piso 21;Una Vida Para Recordar;['colombian pop', 'latin', 'latin pop', 'reggaeton']
Sech;Otro Trago - Remix;['panamanian pop', 'reggaeton']
Ozuna;Fantasía;['latin', 'puerto rican pop', 'reggaeton', 'trap latino']
Sech;Que Mas Pues - Remix;['panamanian pop', 'reggaeton']
Nicky Jam;Atrévete;['latin', 'latin hip hop', 'reggaeton', 'tropical']
Tones and I;Dance Monkey;['australian pop']
DJ Snake;Loco Contigo (feat. J. Balvin & Tyga);['electronic trap']
Mau y Ricky;Desconocidos;['latin', 'latin pop', 'reggaeton']
Dalex;Bellaquita;['latin', 'r&b en espanol']
Manuel Turizo;Te Quemaste;['colombian pop', 'latin', 'reggaeton']
Greeicy;Destino;['colombian pop', 'latin', 'latin pop', 'r&b en espanol', 'reggaeton']
Dalex;Cuaderno;['latin', 'r&b en espanol']
Piso 21;Te Vi;['colombian pop', 'latin', 'latin pop', 'reggaeton']
Dua Lipa;Don't Start Now;['dance pop', 'pop', 'post-teen pop', 'uk pop']
Mike Bahía;La Lá;['colombian pop', 'latin', 'latin pop', 'pop reggaeton', 'reggaeton', 'tropical']
Feid;FRESH KERIAS;['colombian pop', 'latin', 'pop reggaeton', 'reggaeton', 'reggaeton flow']
Rich Music LTD;Uniforme;['reggaeton', 'reggaeton flow']
Dalex;Pa Mí - Remix;['latin', 'r&b en espanol']
